TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
2,880,2015-2016,Mar,Willoughby City Council,Fail to comply with Food Standards Code - Individual
2,1760,2012-2013,Jun,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jul,Lismore City Council,Fail to comply with Food Standards Code - Corporation
5,2200,2018-2019,Jan,Burwood Council,Fail to comply with Food Standards Code - Individual
1,1320,2016-2017,Jan,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
2,1760,2018-2019,Sep,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
11,9680,2016-2017,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Dec,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
4,3520,2014-2015,Oct,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2013-2014,Feb,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Aug,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,Feb,Inner West Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Dec,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Jun,Edward River Council,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,Mar,Camden Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,May,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Mar,Sutherland Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Aug,Penrith City Council,Fail to comply with Food Standards Code - Individual
5,4400,2018-2019,Nov,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2013-2014,Feb,Georges River Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Jan,Queanbeyan City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Jul,Cessnock City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,May,Lane Cove Municipal Council,Fail to comply with Food Standards Code - Corporation
6,5280,2017-2018,Sep,City of Parramatta,Fail to comply with Food Standards Code - Corporation
4,3520,2013-2014,May,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Jul,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Jul,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Jan,Northern Beaches Council,Fail to pay fee required by improvement notice - Corporation
5,2200,2016-2017,Feb,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,1320,2017-2018,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2018-2019,Oct,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
6,5280,2016-2017,Apr,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
8,3520,2018-2019,Oct,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,2640,2012-2013,Mar,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,1320,2012-2013,Jan,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
3,2640,2014-2015,Jun,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Sep,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1980,2016-2017,Jul,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,440,2017-2018,Jun,City of Ryde,Fail to comply with Food Standards Code - Individual
1,1320,2017-2018,Jan,Cumberland Council,Sell food that is unsuitable - Corporation
5,6600,2012-2013,Apr,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
2,880,2017-2018,Jul,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,880,2012-2013,May,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Dec,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Oct,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Apr,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Aug,Cumberland Council,Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,Aug,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Dec,Central Coast Council,Fail to comply with Food Standards Code - Individual
2,880,2012-2013,Jun,Byron Shire Council,Fail to comply with Food Standards Code - Individual
7,6160,2018-2019,Oct,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Aug,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
4,1760,2015-2016,Feb,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Oct,Camden Council,Fail to comply with Food Standards Code - Corporation
1,1320,2017-2018,Sep,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
9,7920,2014-2015,Dec,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
4,1760,2012-2013,Apr,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Jan,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
4,1760,2014-2015,Jan,Bayside Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Jan,Clarence Valley Council,Sell food that fails to comply with the Food Standards Code - Individual
4,5280,2013-2014,Jan,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
2,660,2012-2013,Feb,Campbelltown City Council,Not appoint food safety supervisor for premises - Individual
4,3520,2017-2018,Dec,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
11,4840,2015-2016,May,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,1320,2013-2014,Jan,Blacktown City Council,Sell food that is unsuitable - Corporation
1,1540,2013-2014,Mar,Department of Primary Industries,Sell unsafe food - Corporation
1,660,2012-2013,Mar,Byron Shire Council,Not appoint food safety supervisor for premises - Corporation
3,1320,2016-2017,Jul,Georges River Council,Fail to comply with Food Standards Code - Individual
1,1320,2017-2018,Dec,Department of Primary Industries,Fail to pay fee required by improvement notice - Corporation
1,880,2013-2014,Jun,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Sep,Armidale Regional Council,Fail to comply with Food Standards Code - Corporation
1,440,2015-2016,Apr,City of Parramatta,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Mar,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Nov,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
4,1760,2018-2019,Nov,City of Canada Bay Council,Fail to comply with Food Standards Code - Individual
1,1540,2013-2014,Aug,Department of Primary Industries,Sell food packaged/labelled that falsely describes the food - Corporation
11,9680,2017-2018,Sep,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Nov,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
6,2640,2017-2018,Apr,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Dec,City of Ryde,Fail to comply with Food Standards Code - Corporation
4,2640,2012-2013,Jun,Northern Beaches Council,Fail to pay fee required by improvement notice - Individual
1,880,2012-2013,Apr,Inverell Shire Council,Fail to comply with Food Standards Code - Corporation
18,15840,2016-2017,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
5,2200,2012-2013,May,Fairfield City Council,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Jan,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Nov,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
20,17600,2017-2018,Sep,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Dec,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
3,1320,2018-2019,Dec,Cumberland Council,Fail to comply with Food Standards Code - Individual
5,4400,2015-2016,Apr,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,330,2015-2016,Feb,Ku-ring-gai Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
1,440,2013-2014,Sep,Ballina Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Aug,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
4,3520,2014-2015,Aug,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Apr,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,660,2013-2014,Jan,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,1320,2013-2014,Apr,Department of Primary Industries,Carry on food business/activity without a licence - Corporation
5,2200,2014-2015,Sep,Cumberland Council,Fail to comply with Food Standards Code - Individual
3,1980,2013-2014,Aug,Blacktown City Council,Sell food that is unsuitable - Individual
1,440,2014-2015,Jun,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
6,5280,2015-2016,May,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Oct,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Mar,Wagga Wagga City Council,Fail to notify appropriate enforcement agency - Individual
1,880,2015-2016,Aug,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Jul,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
8,7040,2018-2019,Dec,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,1760,2013-2014,Mar,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,May,City of Parramatta,Fail to comply with Food Standards Code - Corporation
8,7040,2014-2015,Apr,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
10,4400,2012-2013,Apr,Fairfield City Council,Fail to comply with Food Standards Code - Individual
2,1760,2018-2019,Oct,Wollondilly Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2015-2016,Jun,Shoalhaven City Council,Fail to comply with Food Standards Code - Corporation
1,660,2018-2019,Sep,North Sydney City Council,Fail to pay fee required by improvement notice - Individual
2,880,2015-2016,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
3,2640,2012-2013,Apr,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Jan,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Mar,City of Canada Bay Council,Fail to comply with Food Standards Code - Individual
7,3080,2017-2018,Feb,Cumberland Council,Fail to comply with Food Standards Code - Individual
13,11440,2016-2017,Mar,Cumberland Council,Fail to comply with Food Standards Code - Corporation
7,6160,2016-2017,Jan,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Nov,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Aug,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Feb,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Mar,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Feb,City of Sydney Council,Fail to notify appropriate enforcement agency - Corporation
4,3520,2013-2014,Mar,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2013-2014,Jun,City of Sydney Council,Sell unsafe food - Corporation
1,440,2014-2015,Sep,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
3,2640,2012-2013,May,Randwick City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2017-2018,Nov,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Apr,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,May,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Jan,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,330,2012-2013,Feb,Kiama Municipal Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
2,880,2017-2018,Mar,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Mar,Newcastle City Council,Fail to comply with Food Standards Code - Individual
1,330,2012-2013,Jan,Liverpool City Council,Not appoint food safety supervisor for premises - Individual
1,330,2012-2013,Feb,Inner West Council,Not appoint food safety supervisor for premises - Individual
2,1760,2012-2013,Mar,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
5,2200,2012-2013,Apr,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
3,1320,2012-2013,Apr,Georges River Council,Fail to comply with Food Standards Code - Individual
11,4840,2012-2013,Jun,Blacktown City Council,Fail to comply with Food Standards Code - Individual
6,7920,2012-2013,Jun,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,880,2012-2013,May,Camden Council,Fail to comply with Food Standards Code - Corporation
3,3960,2013-2014,Aug,Canterbury-Bankstown Council,Fail to pay fee required by improvement notice - Corporation
2,1760,2013-2014,Sep,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Sep,Randwick City Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Aug,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Nov,Camden Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Jan,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Jun,City of Ryde,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Jun,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
4,2640,2013-2014,Jun,Cumberland Council,Fail to pay fee required by improvement notice - Individual
2,880,2014-2015,Mar,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,330,2014-2015,Apr,Central Coast Council,Not appoint food safety supervisor for premises - Individual
1,880,2014-2015,Apr,Hunters Hill Council,Fail to comply with Food Standards Code - Corporation
10,8800,2014-2015,Jun,Burwood Council,Fail to comply with Food Standards Code - Corporation
2,880,2014-2015,Jun,North Sydney City Council,Fail to comply with Food Standards Code - Individual
11,4840,2015-2016,Sep,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Sep,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
3,2640,2015-2016,Apr,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
5,4400,2015-2016,May,Wollongong City Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,May,Fairfield City Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Jun,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
4,1760,2016-2017,Sep,Bayside Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,Sep,Penrith City Council,Fail to comply with Food Standards Code - Individual
4,1760,2016-2017,Oct,Bayside Council,Fail to comply with Food Standards Code - Individual
5,4400,2016-2017,Oct,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
7,3080,2016-2017,Feb,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Mar,Shoalhaven City Council,Fail to comply with Food Standards Code - Corporation
3,3960,2016-2017,Apr,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
4,3520,2016-2017,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
6,2640,2016-2017,Jun,Inner West Council,Fail to comply with Food Standards Code - Individual
12,5280,2017-2018,Aug,Blacktown City Council,Fail to comply with Food Standards Code - Individual
8,7040,2017-2018,Aug,Cumberland Council,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Oct,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Feb,Randwick City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2017-2018,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Mar,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Apr,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
17,14960,2017-2018,May,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
15,6600,2017-2018,May,City of Sydney Council,Fail to comply with Food Standards Code - Individual
3,2640,2017-2018,Apr,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,880,2017-2018,May,Hawkesbury City Council,Fail to comply with Food Standards Code - Individual
1,440,2017-2018,May,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,330,2017-2018,May,Department of Primary Industries,Fail to have samples of plant products analysed as prescribed - Corporation
6,2640,2017-2018,Feb,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
2,1320,2018-2019,Jul,Waverley Council,Sell food that is unsuitable - Individual
1,880,2018-2019,Sep,Georges River Council,Sell food that fails to comply with the Food Standards Code - Corporation
4,3520,2018-2019,Sep,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Nov,Camden Council,Fail to comply with Food Standards Code - Corporation
6,5280,2018-2019,Dec,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Feb,Cumberland Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,Mar,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Apr,City of Parramatta,Fail to comply with Food Standards Code - Individual
2,1760,2012-2013,Apr,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
8,7040,2012-2013,Jun,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Apr,Singleton Shire Council,Fail to comply with Food Standards Code - Corporation
1,1540,2012-2013,May,Goulburn Mulwaree Council,Sell unsafe food - Corporation
1,440,2013-2014,Sep,Fairfield City Council,Fail to comply with Food Standards Code - Individual
7,6160,2013-2014,Jan,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Dec,Cumberland Council,Fail to pay fee required by improvement notice - Corporation
1,1320,2013-2014,Mar,Wollongong City Council,Fail to pay fee required by improvement notice - Corporation
2,1760,2013-2014,Jan,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Mar,Penrith City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Apr,Georges River Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Jun,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,660,2013-2014,Jun,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
3,1320,2014-2015,Aug,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,Sep,Burwood Council,Fail to comply with Food Standards Code - Corporation
8,7040,2014-2015,Nov,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Dec,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Dec,Randwick City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2014-2015,Dec,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
7,3080,2014-2015,Sep,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
2,880,2014-2015,Jan,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Mar,Bayside Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Apr,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
2,2640,2015-2016,Aug,Blacktown City Council,Sell food that is unsuitable - Corporation
1,440,2015-2016,Sep,Eurobodalla Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Oct,Camden Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Oct,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
7,6160,2015-2016,Nov,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,660,2014-2015,Jan,Department of Primary Industries,Contravene condition of licence - Individual
4,3520,2015-2016,Dec,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Dec,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Jan,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
8,3520,2015-2016,Mar,Cumberland Council,Fail to comply with Food Standards Code - Individual
9,7920,2015-2016,Mar,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
5,4400,2015-2016,May,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Jun,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Jan,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
1,660,2016-2017,Nov,North Sydney City Council,Fail to pay fee required by improvement notice - Individual
6,2640,2016-2017,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Nov,Ballina Shire Council,Fail to comply with Food Standards Code - Corporation
4,3520,2016-2017,Feb,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Feb,Central Coast Council,Fail to comply with Food Standards Code - Individual
2,2640,2016-2017,Feb,City of Ryde,Fail to pay fee required by improvement notice - Corporation
1,660,2016-2017,Feb,Department of Primary Industries,Carry on food business/activity without a licence - Individual
3,2640,2017-2018,Jul,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Jun,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,1540,2016-2017,Jan,Department of Primary Industries,Supply food not of nature required by purchaser - Corporation
7,3080,2017-2018,Oct,Cumberland Council,Fail to comply with Food Standards Code - Individual
2,880,2017-2018,Sep,Cumberland Council,Fail to comply with Food Standards Code - Individual
4,3520,2017-2018,Sep,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Dec,Randwick City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2017-2018,Apr,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,May,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Jul,Shoalhaven City Council,Fail to comply with Food Standards Code - Individual
10,8800,2018-2019,Aug,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,880,2018-2019,Sep,City of Sydney Council,Fail to comply with Food Standards Code - Individual
2,1760,2018-2019,Nov,Tamworth Regional Council,Fail to comply with Food Standards Code - Corporation
2,880,2012-2013,Jan,Penrith City Council,Fail to comply with Food Standards Code - Individual
6,5280,2012-2013,Feb,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,1540,2012-2013,Jan,Department of Primary Industries,Sell unsafe food - Corporation
2,1760,2012-2013,Mar,Camden Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Jul,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
4,1760,2012-2013,Jun,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,880,2013-2014,Jul,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
5,4400,2013-2014,Aug,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Oct,Port Stephens Council,Fail to comply with Food Standards Code - Individual
5,4400,2013-2014,Sep,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
4,3520,2013-2014,Mar,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Feb,Inner West Council,Fail to comply with Food Standards Code - Individual
1,1320,2013-2014,Jun,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
2,880,2013-2014,May,Inner West Council,Fail to comply with Food Standards Code - Individual
1,440,2013-2014,Apr,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Jun,Camden Council,Fail to comply with Food Standards Code - Corporation
1,660,2014-2015,Aug,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
3,1320,2014-2015,Sep,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
15,13200,2014-2015,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,1760,2014-2015,Jan,Blacktown City Council,Fail to comply with Food Standards Code - Individual
3,1320,2014-2015,Feb,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
3,2640,2014-2015,Jan,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
1,660,2014-2015,Mar,Fairfield City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,440,2014-2015,Feb,Blacktown City Council,Fail to comply with Food Standards Code - Individual
9,3960,2014-2015,Mar,Fairfield City Council,Fail to comply with Food Standards Code - Individual
12,10560,2014-2015,Apr,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,May,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
5,2200,2014-2015,Jun,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Jul,Bland Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Jul,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Aug,Queanbeyan City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2015-2016,Aug,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Feb,City of Sydney Council,Sell food that is unsuitable - Individual
1,440,2015-2016,Jun,Bayside Council,Fail to comply with Food Standards Code - Individual
10,4400,2016-2017,Jul,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Aug,Campbelltown City Council,Fail to pay fee required by improvement notice - Individual
1,440,2016-2017,Jul,Byron Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2016-2017,Sep,Randwick City Council,Fail to comply with Food Standards Code - Individual
7,3080,2016-2017,Aug,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Feb,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Feb,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Nov,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
10,8800,2016-2017,May,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
7,3080,2016-2017,Jun,North Sydney City Council,Fail to comply with Food Standards Code - Individual
1,1320,2017-2018,Jul,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
7,3080,2017-2018,Sep,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,1760,2017-2018,Sep,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,1760,2017-2018,Jan,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
5,2200,2017-2018,Feb,Blacktown City Council,Fail to comply with Food Standards Code - Individual
2,3080,2016-2017,Nov,Department of Primary Industries,Falsely describe food in promoting sale of food - Corporation
1,440,2017-2018,Apr,Hawkesbury City Council,Fail to comply with Food Standards Code - Individual
8,7040,2017-2018,May,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
2,1320,2017-2018,Feb,Department of Primary Industries,Handle/sell food so as to contravene the food safety scheme - Individual
1,1320,2017-2018,May,Cessnock City Council,Fail to pay fee required by improvement notice - Corporation
1,1320,2017-2018,Mar,Department of Primary Industries,Fail to pay fee required by improvement notice - Corporation
5,4400,2017-2018,Jun,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2018-2019,Sep,Armidale Regional Council,Fail to pay fee required by improvement notice - Corporation
1,440,2018-2019,Oct,Bayside Council,Fail to comply with Food Standards Code - Individual
1,660,2018-2019,Aug,Cumberland Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,880,2014-2015,Jun,Kempsey Shire Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Nov,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
1,330,2013-2014,Jun,Randwick City Council,Not appoint food safety supervisor for premises - Individual
1,1320,2017-2018,Apr,Mosman Municipal Council,Fail to pay fee required by improvement notice - Corporation
